Cand_Id,Cand_Incumbent_Challenger_Open_Seat,Cand_Name,Cand_Office,Cand_State,GE WINNER INDICATOR,Individual_Contribution,Other_Committee_Contribution,Party_Committee_Contribution,Total_Disbursement,Total_Receipt,year,top_individual_contribution,top_total_disbursement,top_other_comm_contribution,top_party_comm_contribution,in_state,incumbent,open,Cand_Party_Affiliation_DEM,Cand_Party_Affiliation_OTHER,Cand_Party_Affiliation_REP,Cand_Office_St_AK,Cand_Office_St_AL,Cand_Office_St_AR,Cand_Office_St_AZ,Cand_Office_St_CA,Cand_Office_St_CO,Cand_Office_St_CT,Cand_Office_St_DE,Cand_Office_St_FL,Cand_Office_St_GA,Cand_Office_St_HI,Cand_Office_St_IA,Cand_Office_St_ID,Cand_Office_St_IL,Cand_Office_St_IN,Cand_Office_St_KS,Cand_Office_St_KY,Cand_Office_St_LA,Cand_Office_St_MA,Cand_Office_St_MD,Cand_Office_St_ME,Cand_Office_St_MI,Cand_Office_St_MN,Cand_Office_St_MO,Cand_Office_St_MS,Cand_Office_St_MT,Cand_Office_St_NC,Cand_Office_St_ND,Cand_Office_St_NE,Cand_Office_St_NH,Cand_Office_St_NJ,Cand_Office_St_NM,Cand_Office_St_NV,Cand_Office_St_NY,Cand_Office_St_OH,Cand_Office_St_OK,Cand_Office_St_OR,Cand_Office_St_PA,Cand_Office_St_RI,Cand_Office_St_SC,Cand_Office_St_SD,Cand_Office_St_TN,Cand_Office_St_TX,Cand_Office_St_UT,Cand_Office_St_VA,Cand_Office_St_VT,Cand_Office_St_WA,Cand_Office_St_WI,Cand_Office_St_WV,Cand_Office_St_WY
S8AK00165,CHALLENGER,"HAASE, FREDERICK D. (DAVID)",S,AK,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S0AK00097,CHALLENGER,"VONDERSAAR, FRANK J",S,AK,0,50.0,0.0,0.0,1150.0,1150.0,2008,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S0AK00105,CHALLENGER,"BIRD, ROBERT MARIO",S,AK,0,32188.0,0.0,100.0,33019.0,33788.0,2008,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2AK00010,INCUMBENT,"STEVENS, THEODORE F (TED)",S,AK,0,2567978.0,1199654.0,6509.0,4050791.0,3858991.0,2008,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6AL00195,INCUMBENT,"SESSIONS, JEFF",S,AL,1,2758686.0,1166621.0,8530.0,3240151.0,4956130.0,2008,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8AL00167,CHALLENGER,"GAVIN, EARL MACK",S,AL,0,12145.0,0.0,0.0,15618.0,15381.0,2008,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8AL00282,CHALLENGER,"FIGURES, VIVIAN DAVIS",S,AL,0,292898.0,36983.0,0.0,332007.0,332750.0,2008,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8AL00290,CHALLENGER,"TOWNSEND, MARK (NO NCAA)",S,AL,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S0AL00149,CHALLENGER,"SWANSON, JOHNNY III",S,AL,0,2480.0,0.0,0.0,57493.0,57654.0,2008,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8AR00179,CHALLENGER,"KENNEDY, REBEKAH JEAN",S,AR,0,11009.0,0.0,900.0,13392.0,13745.0,2008,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8AR00187,CHALLENGER,"HAMRICK, DONALD LEE",S,AR,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S0AR00028,INCUMBENT,"PRYOR, MARK LUNSFORD",S,AR,1,2786096.0,1931800.0,11995.0,3284632.0,4998992.0,2008,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4AR00038,CHALLENGER,"FORMICOLA, TOM",S,AR,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4CO00171,CHALLENGER,"SCHAFFER, ROBERT W",S,CO,0,5437966.0,1006379.0,48743.0,7205644.0,7387843.0,2008,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8CO00206,OPEN,"BENNER, MARK D",S,CO,0,100.0,0.0,0.0,328.0,339.0,2008,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8CO00172,OPEN,"UDALL, MARK E",S,CO,1,8867507.0,2186292.0,45585.0,12987562.0,11787048.0,2008,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2CO00134,OPEN,"COOPER, GARY",S,CO,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2CO00142,OPEN,"CAMPBELL, DOUGLAS 'DAYHORSE'",S,CO,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8CO00156,OPEN,"MARTINEZ, VINCENT E",S,CO,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8CO00164,OPEN,"MCINNIS, SCOTT",S,CO,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8CO00180,OPEN,"WOLF, WAYNE EARL",S,CO,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8CO00198,OPEN,"CARTER, JERRY DEAN",S,CO,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8CO00214,OPEN,"CHILDS, STEVEN LEE",S,CO,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8CO00222,OPEN,"KINSEY, BOB",S,CO,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8CO00230,OPEN,"LOHMILLER, BRUCE E",S,CO,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8CO00248,OPEN,"MOORE, BUDDY",S,CO,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6DE00131,CHALLENGER,"O'DONNELL, CHRISTINE T",S,DE,0,100800.0,1750.0,50.0,115058.0,116471.0,2008,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8DE00012,INCUMBENT,"BIDEN, JOSEPH R JR",S,DE,1,691965.0,5010.0,0.0,4907245.0,1453307.0,2008,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8DE00087,CHALLENGER,"SMITH, TIM",S,DE,0,17305.0,0.0,0.0,27305.0,27305.0,2008,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4GA11103,CHALLENGER,"BUCKLEY, ALLEN",S,GA,0,14681.0,2000.0,4956.0,28666.0,26628.0,2008,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6GA00176,CHALLENGER,"JONES, VERNON A",S,GA,0,725486.0,8125.0,0.0,747584.0,747611.0,2008,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8GA00115,CHALLENGER,"KNIGHT, FRANKLIN RANDOLPH JR",S,GA,0,141170.0,39500.0,0.0,290659.0,290670.0,2008,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8GA00123,CHALLENGER,"CARDWELL, WILLIAM DALE",S,GA,0,181352.0,0.0,0.0,178599.0,181777.0,2008,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8GA00131,CHALLENGER,"BANKS, JON JAY",S,GA,0,70.0,0.0,0.0,1917.0,5070.0,2008,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8GA00149,CHALLENGER,"LANIER, JOSH",S,GA,0,1061.0,0.0,0.0,14176.0,13561.0,2008,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8GA00164,CHALLENGER,"MARTIN, JAMES FRANCIS",S,GA,0,6611792.0,724659.0,42900.0,7508505.0,7490201.0,2008,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2GA00142,CHALLENGER,"GARCIA, ELEANOR",S,GA,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8GA00156,CHALLENGER,"MARTINEZ, MAGGIE",S,GA,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8GA00172,CHALLENGER,"SALOMONE, WILLIAM",S,GA,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2GA00118,INCUMBENT,"CHAMBLISS, SAXBY",S,GA,1,8042364.0,4120748.0,46802.0,15692294.0,13969329.0,2008,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4IA00020,INCUMBENT,"HARKIN, THOMAS RICHARD",S,IA,1,4334495.0,1835130.0,2715.0,5022490.0,6358882.0,2008,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8IA00088,CHALLENGER,"RATHJE, STEVE",S,IA,0,74506.0,0.0,1100.0,107563.0,106972.0,2008,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8IA00096,CHALLENGER,"EICHHORN, GEORGE SCOTT",S,IA,0,4872.0,0.0,0.0,3287.0,7407.0,2008,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8IA00104,CHALLENGER,"REED, CHRISTOPHER",S,IA,0,43228.0,0.0,15322.0,58793.0,59087.0,2008,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8ID00076,OPEN,"LAROCCO, LARRY",S,ID,0,836289.0,281591.0,0.0,1421746.0,1424818.0,2008,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8ID00092,OPEN,"RISCH, JAMES E",S,ID,1,2173431.0,850873.0,0.0,3573256.0,3594815.0,2008,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8ID00100,OPEN,"RAMMELL, REX FLOYD",S,ID,0,31307.0,0.0,0.0,439397.0,439360.0,2008,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8ID00126,OPEN,"SYME, SCOTT ALAN",S,ID,0,51339.0,0.0,0.0,105023.0,105025.0,2008,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8ID00142,OPEN,"THOMPSON, DONALD NEAL",S,ID,0,1000.0,0.0,0.0,11597.0,11600.0,2008,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8ID00068,OPEN,"VASQUEZ, ROBERT",S,ID,0,3500.0,0.0,0.0,9506.0,9400.0,2008,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8ID00084,OPEN,"CARTER, JERRY DEAN",S,SD,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8ID00134,OPEN,"ADAMS, FRED M",S,ID,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8ID00159,OPEN,"HEFNER, BRIAN EUGENE",S,ID,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8ID00167,OPEN,"ARCHULETA, DAVID J.",S,ID,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8ID00183,OPEN,"STYLES, HAL JAMES, JR.",S,CA,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8ID00209,OPEN,"MARMON, KENT A.",S,ID,0,0.0,0.0,0.0,0.0,0.0,2008,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8ID00118,OPEN,"PHENNEGER, RICHARD E",S,ID,0,31373.0,0.0,0.0,103748.0,109658.0,2008,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
